ds,yhat,yhat_lower,yhat_upper,Land_Cover_Type
2024-01-01,47.64987195643167,-244.05483027550844,346.9619919923906,Mixed Forest
2025-01-01,-22.428770270311976,-378.22190644617075,256.61893847393037,Mixed Forest
2026-01-01,0.9124146113141762,-302.0301504353176,300.26680095119883,Mixed Forest
2027-01-01,24.654260231154577,-270.04543412965893,311.80005606879695,Mixed Forest
2028-01-01,48.76824552680409,-247.9196875492046,350.4677205886797,Mixed Forest
2029-01-01,-21.310396699981478,-333.9862225089421,267.26047816531855,Mixed Forest
2030-01-01,2.0307881814175985,-300.60172642009394,303.28697428280697,Mixed Forest
2031-01-01,25.772633801419584,-271.92279304333465,317.8171641670323,Mixed Forest
2032-01-01,49.88661909704942,-259.425495095634,340.93902418868157,Mixed Forest
2033-01-01,-20.192023129860477,-319.1821137137348,299.6983722148625,Mixed Forest
